Total documents: 104
Total buckets: 208
Candidate pairs: 695
Matches above threshold (0.5): 594
doc_000019.txt <-> doc_000097.txt : 1.0000
doc_000039.txt <-> doc_000075.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000078.txt : 1.0000
doc_000042.txt <-> doc_000077.txt : 0.7000
doc_000053.txt <-> doc_000077.txt : 1.0000
doc_000084.txt <-> doc_000092.txt : 0.5556
doc_000013.txt <-> doc_000050.txt : 0.5882
doc_000034.txt <-> doc_000082.txt : 1.0000
doc_000001.txt <-> doc_000066.txt : 1.0000
doc_000014.txt <-> doc_000094.txt : 0.5556
doc_000054.txt <-> doc_000087.txt : 1.0000
doc_000038.txt <-> doc_000079.txt : 0.5556
doc_000015.txt <-> doc_000077.txt : 0.7000
api_20260416_020230_731102.txt <-> doc_000082.txt : 0.7000
doc_000035.txt <-> doc_000073.txt : 1.0000
doc_000000.txt <-> doc_000070.txt : 0.7000
doc_000080.txt <-> doc_000090.txt : 1.0000
doc_000012.txt <-> doc_000035.txt : 1.0000
doc_000031.txt <-> doc_000048.txt : 0.5882
doc_000080.txt <-> doc_000099.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000055.txt : 1.0000
doc_000060.txt <-> doc_000093.txt : 0.5556
doc_000013.txt <-> doc_000018.txt : 0.5882
api_20260416_033932_359570.txt <-> doc_000064.txt : 0.5556
doc_000020.txt <-> doc_000066.txt : 1.0000
doc_000031.txt <-> doc_000066.txt : 0.5556
api_20260416_034719_769078.txt <-> doc_000092.txt : 0.5556
doc_000001.txt <-> doc_000034.txt : 0.7000
doc_000042.txt <-> doc_000072.txt : 0.7000
doc_000053.txt <-> doc_000072.txt : 1.0000
doc_000001.txt <-> doc_000052.txt : 0.5556
doc_000003.txt <-> doc_000080.txt : 1.0000
doc_000034.txt <-> doc_000095.txt : 1.0000
doc_000011.txt <-> doc_000093.txt : 0.7000
doc_000022.txt <-> doc_000093.txt : 0.7000
doc_000075.txt <-> doc_000096.txt : 0.5000
doc_000038.txt <-> doc_000056.txt : 1.0000
doc_000004.txt <-> doc_000063.txt : 0.7000
doc_000015.txt <-> doc_000072.txt : 0.7000
api_20260416_034703_810579.txt <-> doc_000001.txt : 1.0000
doc_000016.txt <-> doc_000037.txt : 1.0000
doc_000027.txt <-> doc_000037.txt : 1.0000
doc_000004.txt <-> doc_000081.txt : 0.6111
doc_000026.txt <-> doc_000090.txt : 1.0000
doc_000026.txt <-> doc_000099.txt : 1.0000
doc_000000.txt <-> doc_000047.txt : 0.7000
api_20260416_020230_731102.txt <-> doc_000095.txt : 0.7000
doc_000037.txt <-> doc_000096.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000023.txt : 1.0000
doc_000008.txt <-> doc_000060.txt : 1.0000
doc_000068.txt <-> doc_000074.txt : 1.0000
doc_000009.txt <-> doc_000025.txt : 0.7000
doc_000020.txt <-> doc_000034.txt : 0.7000
doc_000039.txt <-> doc_000047.txt : 0.5000
doc_000030.txt <-> doc_000075.txt : 0.5000
